Frage;Option A;Option B;Option C;Option D;Antwort
"Welche Zahl fehlt in 2 X 8 = ?";"15";"16";"18";"17";"16"
"Welche Zahl fehlt in 10 X ? = 50?";"4";"6";"5";"7";"5"
"Welche Zahl fehlt in 1 X ? = 7?";"7";"5";"8";"6";"7"
"Welche Zahl fehlt in 3 X ? = 9?";"4";"3";"2";"5";"3"
"Was ist 3 mal 1?";"4";"2";"5";"3";"3"
"Welche Zahl fehlt in ? X 2 = 8?";"4";"5";"3";"2";"4"
"Welche Zahl fehlt in 5 X 10 = ?";"49";"51";"52";"50";"50"
"Welche Zahl fehlt in ? X 10 = 60?";"6";"8";"5";"7";"6"
"Welche Zahl fehlt in 3 X 10 = ?";"29";"31";"30";"32";"30"
"Welche Zahl fehlt in ? X 4 = 28?";"6";"7";"5";"8";"7"
"Welche Zahl fehlt in ? X 6 = 24?";"4";"2";"5";"3";"4"
"Was ist 1 mal 5?";"7";"5";"4";"6";"5"
"Was ist 3 mal 5?";"17";"15";"16";"14";"15"
"Welche Zahl fehlt in 4 X ? = 36?";"8";"11";"9";"10";"9"
"Welche Zahl fehlt in 7 X ? = 21?";"4";"5";"2";"3";"3"
"Was ist 8 mal 3?";"25";"23";"26";"24";"24"
"Was ist 1 mal 9?";"11";"8";"9";"10";"9"
"Welche Zahl fehlt in 4 X ? = 20?";"6";"7";"4";"5";"5"
"Welche Zahl fehlt in 2 X ? = 10?";"7";"5";"4";"6";"5"
"Welche Zahl fehlt in 5 X ? = 15?";"2";"4";"5";"3";"3"
"Welche Zahl fehlt in ? X 10 = 40?";"6";"5";"3";"4";"4"
"Welche Zahl fehlt in 9 X ? = 63?";"8";"9";"7";"6";"7"
"Welche Zahl fehlt in 7 X 6 = ?";"43";"41";"42";"44";"42"
"Welche Zahl fehlt in 10 X ? = 90?";"10";"8";"9";"11";"9"
"Was ist 6 mal 7?";"44";"42";"41";"43";"42"
"Was ist 7 mal 5?";"34";"35";"37";"36";"35"
